+0.945022925310054  0.000000000     4601.706 100 100 100
+1.191360817253026  0.000000000     4188.437 100 100 100
+1.184568697939540  0.000000000     4663.675 100 100 100
+1.437763455683713  0.000000000     4360.679 100 100 100
+1.463043183363641  0.000000000     4226.001 100 100 100
+1.740140421390757  0.000000000     4159.133 100 100 100
+1.793600559822491  0.000000000     4181.013 100 100 100
+2.106274827102640  0.000000000     4138.737 100 100 100
+2.188698441105966  0.000000000     4169.999 100 100 100
+2.547775111105636  0.000000000     4148.009 100 100 100
